roller_skates,56653
rollerblade,360
rolling_pin,56
rose,2488
router_(computer_equipment),1
rubber_band,135
rugby_ball,22
ruler,276
saddle_(on_an_animal),357
saddle_blanket,347
saddlebag,13
sail,3750
salad,350
salami,11
salt_and_pepper_shakers,393
sandal,320
sandal_(type_of_shoe),4569
sandwich,2064
saucer,656
sausage,57
saxophone,667
saxophone_(musical_instrument),15
scale,40
scale_(measuring_instrument),9
scarf,15798
school_bus,76
scissors,11029
scoreboard,1239
scorpion,11
screwdriver,43
scrubbing_brush,16
sculpture,17106
sea_lion,80
sea_turtle,300
seabird,1568
seafood,320
seahorse,81
seashell,70
seat_belt,52
segway,70
sewing_machine,256
shampoo,286
shark,562
shaver_(electric),1
shaving_cream,32
shears,4
sheep,9825
shelf,2167
shellfish,281
shellfishm,167
shield,25
shirt,44919
shoe,11663
shopping_bag,452
shopping_cart,107
short_pants,26229
shotgun,18
shoulder_bag,2
shovel,59
shower,265
shower_curtain,2488
shrimp,158
signboard,15524
silo,203
sink,6096
skateboard,54525
ski,30022
ski_boot,11694
ski_parka,191
ski_pole,12292
skirt,21482
skull,2160
skyscraper,12874
sled,219
sleeping_bag,1
slide,242
slipper_(footwear),169
slow_cooker,8
smoothie,3
snack,1006
snail,32
snake,466
snowboard,25755
snowman,124
snowmobile,751
snowplow,63
soap,96
soap_dispenser,9
soccer_ball,1155
sock,10243
sofa_bed,61
solar_array,89
sombrero,82
soup,83
sparkler_(fireworks),2
sparrow_(bird),113
spatula,146
speaker_(stero_equipment),8434
spice_rack,1
spider,63
sponge,92
spoon,4408
sports_equipment,505113
sports_uniform,970
spotlight,314
squash_(vegetable),1065
squid,2
squirrel,232
stairs,3028
stapler,21
starfish,138
stationary_bicycle,12
statue_(sculpture),13342
steering_wheel,4697
step_stool,7
stereo_(sound_system),243
stirrup,86
stool,3378
stop_sign,11687
stove,687
strainer,16
strap,16029
strawberry,974
street_light,23544
street_sign,14893
stretcher,4
submarine,1
suit_(clothing),52699
suitcase,34270
sun_hat,537
sunflower,2070
sunglasses,32790
surfboard,41167
sushi,126
suspenders,1264
swan,1228
sweatband,4
sweater,8230
sweatshirt,592
sweet_potato,1
swim_cap,341
swimming_pool,7176
swimsuit,11764
sword,296
syringe,81
table,28864
table_tennis_racket,66
tablecloth,15169
tablet_computer,761
tableware,187529
tachometer,41
taco,3
tag,5007
taillight,11420
tank,490
tank_(storage_vessel),1099
tank_top_(clothing),22097
tape_(sticky_cloth_or_paper),27
tapestry,7
tarp,1323
tart,3
tartan,21
tassel,744
taxi,1494
tea,60
teacup,58
teakettle,2
teapot,196
teddy_bear,9221
telephone,61750
telephone_booth,47
telephone_pole,8039
television,166052
television_camera,58
tennis_ball,4570
tennis_racket,7787
tent,3136
thermos_bottle,56
thermostat,402
thread,149
tiara,1045
tie,160392
tiger,283
tights_(clothing),6
timer,12
tinfoil,453
tinsel,91
tire,1515
tissue_paper,1798
toaster,260
toaster_oven,18
toilet,9369
toilet_paper,1777
tomato,2930
tongs,36
tool,72414
toolbox,5
toothbrush,25439
toothpaste,105
toothpick,48
tortoise,248
tote_bag,19
towel,1418
towel_rack,887
tower,11409
toy,106780
tractor_(farm_equipment),214
traffic_light,29054
traffic_sign,14109
trailer_truck,91
train,22729
trash_can,9241
tray,772
treadmill,22
tree,494586
tree_house,3
tricycle,16
tripod,5565
trombone_(musical_instrument),76
trophy_cup,86
trousers,55561
truck,42327
trumpet_(musical_instrument),318
trunk,38
turkey,60
turnip,1
turtle,563
typewriter,50
umbrella,59831
underdrawers,21
underwear,517
unicycle,376
urinal,338
urn,1
vacuum_cleaner,4
van,3819
vase,24116
vat,2
vegetable,15970
vehicle,914671
veil,5581
vending_machine,56
vent,10958
vest,19664
videotape,725
violin_(musical_instrument),819
visor,478
volleyball,101
vulture_(bird),4
waffle,10
wagon,638
wagon_wheel,251
walking_cane,156
walking_stick,156
wall_clock,679
wallet,58
wardrobe,349
washing_machine,226
waste_container,746
watch,15647
water_bottle,6753
water_cooler,19
water_jug,30
water_scooter,451
water_ski,150
water_tower,260
watercraft,125662
watering_can,16
watermelon,98
weapon,14034
weathervane,359
webcam,14
wedding_cake,625
wet_suit,8309
whale,1595
wheel,36079
wheelchair,1332
whipped_cream,66
whisk,7
white,14954989
whiteboard,3188
wig,7176
windmill,1988
window,65374
window_blind,916
window_box_(for_plants),185
windshield_wiper,6492
windsock,3
wine,804
wine_bottle,5318
wine_bucket,15
wine_glass,41706
wine_rack,63
wok,340
woman,386788
woodburning_stove,141
wooden_spoon,5
woodpecker_(bird),83
worm,31
wreath,877
wrench,20
wristlet,222
yellow,8597834
yogurt,64
zebra,3346
zucchini,145
